name,symbol,price,day,time,date,minute
Sandstorm Gold Ltd,SSL,7.41,Thursday,12:43,20200924,1242
Scotia Strategic Intl Eqty ETF Portfolio,SINT,1.7606,Thursday,12:43,20200924,1242
Ishares MSCI EAFE Index ETF,XIN,1.75,Thursday,12:43,20200924,1242
Gold Standard Ventures Corp,GSV,0.7303,Thursday,12:46,20200924,1245
Goodfellow Inc,GDL,8.4,Thursday,12:46,20200924,1245
General Moly Inc,GMO,0.1169,Thursday,12:46,20200924,1245
Glg Life Tech Corp,GLG,2.38,Thursday,12:46,20200924,1245
Galiano Gold Inc,GAU,1.375,Thursday,12:46,20200924,1245
Gran Tierra Energy Inc,GTE,0.2501,Thursday,12:46,20200924,1245
Horizons Active CDN Dividend ETF,HAL,12.35,Thursday,12:46,20200924,1245
Hudbay Minerals Inc,HBM,3.905,Thursday,12:46,20200924,1245
Global Atomic Corp,GLO,9.01,Thursday,12:46,20200924,1245
Geodrill Limited,GEO,10.71,Thursday,12:46,20200924,1245
Accelerate Absolute Return Hdg Fund ETF,HDGE,4.589,Thursday,12:46,20200924,1245
Horizons Enhanced Income Gold Prod ETF,HEP,12.48,Thursday,12:46,20200924,1245
Hexo Corp,HEXO,0.64,Thursday,12:46,20200924,1245
Betapro S&P TSX 60 Daily Inverse ETF,HIX,6.45,Thursday,12:46,20200924,1245
Horizons Active High Yield Bond ETF,HYI,14.0,Thursday,12:46,20200924,1245
Horizons Resolve Adptv Asset Alloc ETF,HRAA,0.0061,Thursday,12:46,20200924,1245
Helix Biopharm,HBP,2.14,Thursday,12:46,20200924,1245
Desjardins CDN Pref Share ETF,DCP,10.14,Thursday,12:46,20200924,1245
Dividend Select 15 Corp,DS,1.1899,Thursday,12:46,20200924,1245
Dynamic Ishares Act Global Fin Ser ETF,DXF,0.6876,Thursday,12:46,20200924,1245
Diversified Royalty Corp,DIV,14.65,Thursday,12:46,20200924,1245
First Trust Indxx Innov Trans Proc ETF,BLCK,1.1,Thursday,12:46,20200924,1245
Dbox Technologies Inc,DBO,7.16,Thursday,12:46,20200924,1245
Horizons Active Pref Share ETF,HPR,0.2526,Thursday,12:46,20200924,1245
Bellus Health Inc,BLU,2.15,Thursday,12:46,20200924,1245
Baytex Energy Corp,BTE,0.3489,Thursday,12:46,20200924,1245
Blackberry Limited,BB,5.05,Thursday,12:46,20200924,1245
Brompton Na Financials Dividend ETF,BFIN,7.04,Thursday,12:46,20200924,1245
Enerplus Corp,ERF,1.795,Thursday,12:46,20200924,1245
Boralex Inc,BLX,12.13,Thursday,12:46,20200924,1245
Bri Chem Corp,BRY,3.145,Thursday,12:46,20200924,1245
Entree Resources Ltd,ETG,14.53,Thursday,12:46,20200924,1245
Evolve Active Global Fixed Income ETF,EARN,11.09,Thursday,12:46,20200924,1245
Energy Fuels Inc,EFR,11.71,Thursday,12:46,20200924,1245
Ensign Energy Services Inc,ESI,10.45,Thursday,12:46,20200924,1245
Electrovaya Inc,EFL,8.71,Thursday,12:46,20200924,1245
Euromax Resources Ltd,EOX,1.37,Thursday,12:46,20200924,1245
Equinox Gold Corp,EQX,11.36,Thursday,12:46,20200924,1245
Alamos Gold Inc Cls A,AGI,8.82,Thursday,12:46,20200924,1245
Aeterna Zentaris Inc,AEZS,0.3457,Thursday,12:46,20200924,1245
Avino Silver and Gold Mines Ltd,ASM,1.01,Thursday,12:46,20200924,1245
Andlauer Healthcare Group Inc,AND,9.7,Thursday,12:46,20200924,1245
Evolve Innovation Index ETF,EDGE,0.5036,Thursday,12:46,20200924,1245
Aimia Inc,AIM,2.0499,Thursday,12:46,20200924,1245
Exemplar Growth and Income Fund ETF,EGIF,12.55,Thursday,12:46,20200924,1245
